,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
13350,UA,['Ukraine'],Tanks,T-64BV Zr. 2017,86,28,['captured'],https://i.postimg.cc/QMnXc8H2/2041-T-64-BV-Zr-2017-capt-08-09-22.jpg,_cc0c9e3e5a35a87d7238,04/12/2022
13373,UA,['Ukraine'],Tanks,T-64BM 'Bulat',17,3,['captured'],https://i.postimg.cc/tJbw1Xvk/2001.jpg,_96851536fc4eb48204c3,23/07/2022
13374,UA,['Ukraine'],Tanks,T-64BM 'Bulat',17,4,['captured'],https://i.postimg.cc/zD2fTkRL/2002-T-64-BM-capt-Bulat-22-04-22.jpg,_296161908fd426a22596,04/12/2022
13483,UA,['the Soviet Union'],Tanks,T-72AV,40,2,['captured'],https://twitter.com/RALee85/status/1558887657324875777,_34c692132a44e01f17c6,14/08/2022
13484,UA,['the Soviet Union'],Tanks,T-72AV,40,3,['captured'],https://i.postimg.cc/TY5yXFcQ/2002-t72av.jpg,_43e8de2467d08e12c803,19/09/2022
13485,UA,['the Soviet Union'],Tanks,T-72AV,40,4,"['damaged', 'captured']",https://i.postimg.cc/Kc34cjCw/432.png,_d99cec2b0642f8a39d2a,19/10/2022
13486,UA,['the Soviet Union'],Tanks,T-72AV,40,5,['captured'],https://i.postimg.cc/cCsQzKTv/2013-t72av-capt-09-10-22.jpg,_e556afd48452c6399124,31/12/2022
13487,UA,['the Soviet Union'],Tanks,T-72AV,40,6,"['damaged', 'captured']",https://twitter.com/UAWeapons/status/1633907229647618048,_a792e8f270094860a9ec,10/03/2023
13488,UA,['the Soviet Union'],Tanks,T-72AV,40,7,['captured'],https://i.postimg.cc/1XtS8Pkz/2007-t72av-capt-08-07-23.jpg,_1fd5e1e360817e3c5f25,11/07/2023
13489,UA,['the Soviet Union'],Tanks,T-72AV,40,8,['captured'],https://i.postimg.cc/vTQqJ4TV/2010-T-72-AV-capt-01-08-23.jpg,_cd48c210b6932acba691,23/08/2023
13613,UA,['the Soviet Union'],Tanks,T-80BV,66,1,['abandoned'],https://twitter.com/UAWeapons/status/1572568028587626496,_54988483529657c49283,21/09/2022
13614,UA,['the Soviet Union'],Tanks,T-80BV,66,2,"['damaged', 'abandoned']",https://i.postimg.cc/NM8WrWN5/2004-t80bv-dam-aband.jpg,_e27912bf28919228ee9e,27/10/2022
13615,UA,['the Soviet Union'],Tanks,T-80BV,66,3,"['damaged', 'abandoned']",https://i.postimg.cc/cHV1NWQ2/2025-1x-t80bv-2x-Sisu-XA-185-aband-11-08-23.jpg,_20b004ee13ec929a203f,04/10/2023
13623,UA,['the Soviet Union'],Tanks,T-80BV,66,8,['captured'],https://i.postimg.cc/G352G9YJ/580.png,_59a4116c129f0fb1381d,10/05/2022
13624,UA,['the Soviet Union'],Tanks,T-80BV,66,9,['captured'],https://i.postimg.cc/zvh7qCq7/2105.jpg,_6bf44f31d1317e4aa071,20/07/2022
13625,UA,['the Soviet Union'],Tanks,T-80BV,66,10,['captured'],https://postimg.cc/DJfV8xMx,_c4ae78a8b030893f8689,07/09/2022
13626,UA,['the Soviet Union'],Tanks,T-80BV,66,11,['captured'],https://i.postimg.cc/Bvd6csGs/2002-t64bv.jpg,_90fa4eba82a77c2ea032,14/08/2022
13627,UA,['the Soviet Union'],Tanks,T-80BV,66,12,['captured'],https://postimg.cc/S2VsBjb6,_2ed200ab09ec72b59a91,16/10/2022
13628,UA,['the Soviet Union'],Tanks,T-80BV,66,13,['captured'],https://i.postimg.cc/26h3yR6d/4f3.png,_170a22d2c3102a8f25dc,17/10/2022
13629,UA,['the Soviet Union'],Tanks,T-80BV,66,14,['captured'],https://i.postimg.cc/VN5wfxDD/2048-T-80-BV-capt-03-09-2022.jpg,_0945fd9d7833ad016d22,04/12/2022
13640,UA,['Germany'],Tanks,Leopard 2A4,13,1,"['damaged', 'abandoned']",https://i.postimg.cc/MHLmR61X/2001-BTR4-destr-m113-ypr-and-leo2a4-dam-aband-01-11-23.,_d9a497096b58d3f50f02,05/11/2023
13906,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,38,['destroyed'],https://i.postimg.cc/bvjDCHZ5/2009-MT-LB-with-ZU-23-AA-gun-destr-14-05-23.jpg,_b1fdfef7a0f1a5a17d80,22/05/2023
13907,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,39,['destroyed'],https://i.postimg.cc/qqYg88fj/2018-mtlb-destr-30-11-22.png,_776cada790a0e52ad07d,22/05/2023
13908,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,40,['destroyed'],https://i.postimg.cc/8knFQVFM/2019-mtlb-destr-30-11-22.png,_87b2a60f8c7cb5d82ad6,22/05/2023
13909,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,41,['destroyed'],https://i.postimg.cc/rmVdcVCC/2040-mtlb-destr-11-05-23.jpg,_eed8b0996ca9ebd6e78d,22/05/2023
13910,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,42,['destroyed'],https://i.postimg.cc/BbthYRR6/2004-mtlb-destr-19-05-23.jpg,_736a5dbc2f5c1083569c,29/05/2023
13911,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,43,['destroyed'],https://i.postimg.cc/WprbsRYr/2007-MT-LB-destr-11-03-22.jpg,_0762ef0c7a93b5db3ef5,27/07/2023
13912,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,44,['destroyed'],https://i.postimg.cc/Z54nwskm/2420.png,_6aaba6e9098e511c3f73,18/09/2023
13913,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,45,['destroyed'],https://i.postimg.cc/xTQMBdDC/32.png,_5e077098086678f4fb39,25/09/2023
13915,UA,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,63,1,['abandoned'],https://i.postimg.cc/D00sLq8C/Screenshot-8261.png,_c2578f2c37b0319b98c8,27/02/2022
14462,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,66,['destroyed'],https://i.postimg.cc/DyL5mXZY/2001-bmp2-destr-25-01-23.jpg,_e1a3755dc776b9e00858,25/01/2023
14534,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,1,['damaged'],https://i.postimg.cc/cJfZ5HRh/547.jpg,_9d2072da84b193892f3c,21/03/2022
14535,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,2,['damaged'],https://i.postimg.cc/tCKrkSkq/2001-bmp2-dam-19-05-23.jpg,_f9889605305e7398e801,29/05/2023
