,owner,origen,weapon,platform,total,number,Status,url
4464,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ-5337 fuel tanker,2,1,['destroyed'],https://i.postimg.cc/J4D90SCZ/2003-MAZ-5337-fuel-tanker-destr.jpg
4465,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ-5337 fuel tanker,2,2,['destroyed'],https://i.postimg.cc/Y0cPV5Ly/ku2.png
4466,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",MAZ TZ-500 tanker,1,1,['destroyed'],https://i.postimg.cc/BZV8PYVw/2009-MAZ-TZ-500-tanker-destr-13-11-22.jpg
4467,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,1,['destroyed'],https://i.postimg.cc/x1xtm4D1/2003-Oshkosh-FMTV-M1083-A1-P2-truck-destr.jpg
4468,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,2,['destroyed'],https://i.postimg.cc/26b4MCdZ/2003-m777-truck-destr.jpg
4469,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,3,['destroyed'],https://i.postimg.cc/PrDcsPX5/2001.jpg
4470,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,4,['destroyed'],https://twitter.com/UAWeapons/status/1564339685337583619
4471,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,5,['destroyed'],https://twitter.com/UAWeapons/status/1564339685337583619
4472,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,6,['destroyed'],https://i.postimg.cc/yx1RhRmv/2002-Oshkosh-FMTV-M1083-A1-P2-destr-18-01-23.jpg
4473,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,7,['destroyed'],https://i.postimg.cc/0N0M69Tp/2008-Oshkosh-FMTV-M1083-A1-P2-truck-destr-24-05-23.jpg
4474,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,8,['destroyed'],https://i.postimg.cc/MTyCJbSr/2001-FMTV-M1083-A1-P2-destr-24-07-23.jpg
4475,UA,['the United States'],"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,9,1,"['damaged', 'abandoned']",https://i.postimg.cc/52rdB2gp/2000-Oshkosh-FMTV-M1083-A1-P2-dam-aband-24-07-23.jpg
4476,UA,['Poland'],"Trucks, Vehicles, and Jeeps",Jelcz P882 D53,2,1,['destroyed'],https://twitter.com/UAWeapons/status/1642460631897915399
4477,UA,['Poland'],"Trucks, Vehicles, and Jeeps",Jelcz P882 D53,2,2,['destroyed'],https://i.postimg.cc/9MzwXm7T/2007-Jelcz-P882-53-truck-destr-22-04-23.jpg
4478,UA,['Germany'],"Trucks, Vehicles, and Jeeps",Mercedes-Benz Unimog U1300L ambulance,2,1,['destroyed'],https://i.postimg.cc/zfHjyW8Y/2001-unimog.jpg
4479,UA,['Germany'],"Trucks, Vehicles, and Jeeps",Mercedes-Benz Unimog U1300L ambulance,2,2,['destroyed'],https://i.postimg.cc/0ybV7HS8/2003-Mercedes-Benz-Unimog-U1300-L-ambulance-destr-25-01-23.jpg
4480,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Pinzgauer Vector 718,3,1,['destroyed'],https://twitter.com/UAWeapons/status/1580640844175982594
4481,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Pinzgauer Vector 718,3,1,['damaged'],https://i.postimg.cc/Bb85pvw6/2000-Pinzgauer-Vector-718.jpg
4482,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Pinzgauer Vector 718,3,2,['damaged'],https://i.postimg.cc/RhtL6vNB/2000-Pinzgauer-Vector-718-PPV-dam.jpg
4483,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Land Rover Defender,5,1,['destroyed'],https://i.postimg.cc/v8fYJRDb/46f.png
4484,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Land Rover Defender,5,2,['destroyed'],https://i.postimg.cc/zfZgczbq/446.png
4485,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Land Rover Defender,5,3,['destroyed'],https://i.postimg.cc/ydyWpJkc/57.png
4486,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Land Rover Defender,5,4,['destroyed'],https://i.postimg.cc/8zK88btq/2025-Land-Rover-destr-28-04-23.jpg
4487,UA,['the United Kingdom'],"Trucks, Vehicles, and Jeeps",Land Rover Defender,5,5,['destroyed'],https://i.postimg.cc/2jF259Y7/2037-Land-Rover-Snatch-destr-07-06-23.jpg
4488,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,13,1,['destroyed'],https://postlmg.cc/yWHNY0kF
4489,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,13,2,['destroyed'],https://i.postimg.cc/C5hRYrst/4f76.png
4490,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,13,3,['destroyed'],https://i.postimg.cc/t48z389M/2000-UAZ-469-destr.jpg
4491,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,13,4,['destroyed'],https://i.postimg.cc/7Y4rSh5Q/2014-uaz469-capt-04-03-22.jpg
4492,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,13,5,['destroyed'],https://i.postimg.cc/ZK4tppqj/2025-uaz469-destr-08-07-23.jpg
4493,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,13,1,"['damaged', 'abandoned']",https://i.postimg.cc/WpGVCJVL/324.png
